GEO_ID,NAME,TOTAL,HISP,WNH,BNH,H,W,B,Race
47157021760,"Census Tract 217.60, Shelby County, Tennessee",2602,436,120,1974,16.7563412759416,4.61183704842429,75.8647194465796,B
47157021900,"Census Tract 219, Shelby County, Tennessee",3576,120,77,3310,3.35570469798658,2.15324384787472,92.5615212527964,B
47157022023,"Census Tract 220.23, Shelby County, Tennessee",1349,10,16,1291,0.741289844329133,1.18606375092661,95.700518902891,B
47157022024,"Census Tract 220.24, Shelby County, Tennessee",2606,16,83,2471,0.613967766692249,3.18495778971604,94.8196469685342,B
47157022025,"Census Tract 220.25, Shelby County, Tennessee",1881,31,56,1729,1.64805954279638,2.97713981924508,91.9191919191919,B
47157022026,"Census Tract 220.26, Shelby County, Tennessee",1513,14,54,1407,0.92531394580304,3.56906807666887,92.9940515532056,B
47157022111,"Census Tract 221.11, Shelby County, Tennessee",4013,197,103,3603,4.90904560179417,2.56665836032893,89.7832045850984,B
47157022121,"Census Tract 221.21, Shelby County, Tennessee",3413,33,117,3209,0.966891297978318,3.42806914737767,94.0228537943159,B
47157022122,"Census Tract 221.22, Shelby County, Tennessee",2944,16,68,2801,0.543478260869565,2.30978260869565,95.1426630434783,B
47157022130,"Census Tract 221.30, Shelby County, Tennessee",3663,34,134,3424,0.928200928200928,3.65820365820366,93.4752934752935,B
47157022131,"Census Tract 221.31, Shelby County, Tennessee",2043,14,39,1933,0.685266764561919,1.90895741556535,94.6157611355849,B
47157022132,"Census Tract 221.32, Shelby County, Tennessee",2171,17,76,2032,0.783049286043298,3.50069092584063,93.5974205435283,B
47157022210,"Census Tract 222.10, Shelby County, Tennessee",3222,38,45,3072,1.17939168218498,1.39664804469274,95.3445065176909,B
47157022220,"Census Tract 222.20, Shelby County, Tennessee",2585,13,44,2461,0.502901353965184,1.70212765957447,95.2030947775629,B
47157022310,"Census Tract 223.10, Shelby County, Tennessee",3918,26,25,3766,0.663603879530373,0.638080653394589,96.1204696273609,B
47157022321,"Census Tract 223.21, Shelby County, Tennessee",3020,23,34,2923,0.76158940397351,1.12582781456954,96.7880794701987,B
47157022322,"Census Tract 223.22, Shelby County, Tennessee",3133,18,37,3030,0.574529205234599,1.1809766996489,96.7124162144909,B
47157022330,"Census Tract 223.30, Shelby County, Tennessee",3392,140,27,3132,4.12735849056604,0.795990566037736,92.3349056603774,B
47157022410,"Census Tract 224.10, Shelby County, Tennessee",4381,102,191,3984,2.32823556265693,4.35973522026935,90.9381419767177,B
47157022500,"Census Tract 225, Shelby County, Tennessee",3445,409,210,2745,11.8722786647315,6.09579100145138,79.6806966618288,B
47157022600,"Census Tract 226, Shelby County, Tennessee",3099,727,206,2117,23.459180380768,6.64730558244595,68.3123588254276,B
47157022700,"Census Tract 227, Shelby County, Tennessee",4701,35,71,4498,0.74452244203361,1.51031695383961,95.6817698362051,B
47157980100,"Census Tract 9801, Shelby County, Tennessee",11,1,2,6,9.09090909090909,18.1818181818182,54.5454545454545,B
47157980200,"Census Tract 9802, Shelby County, Tennessee",10,3,1,4,30,10,40,B
47157980401,"Census Tract 9804.01, Shelby County, Tennessee",1829,26,335,1465,1.4215418261345,18.3160196828868,80.098414434117,B
47157001100,"Census Tract 11, Shelby County, Tennessee",2415,943,555,801,39.0476190476191,22.9813664596273,33.167701863354,H
47157008800,"Census Tract 88, Shelby County, Tennessee",4816,2469,1522,656,51.2666112956811,31.6029900332226,13.6212624584718,H
47157008900,"Census Tract 89, Shelby County, Tennessee",2787,1252,661,785,44.9228561176893,23.7172587011123,28.1664872622892,H
47157009100,"Census Tract 91, Shelby County, Tennessee",1979,980,714,169,49.5199595755432,36.0788276907529,8.53966649823143,H
47157000100,"Census Tract 1, Shelby County, Tennessee",5268,239,3309,856,4.53682611996963,62.8132118451025,16.2490508731967,W
47157001200,"Census Tract 12, Shelby County, Tennessee",2997,933,1209,643,31.1311311311311,40.3403403403403,21.4547881214548,W
47157001600,"Census Tract 16, Shelby County, Tennessee",2864,628,1771,276,21.927374301676,61.836592178771,9.63687150837989,W
47157001700,"Census Tract 17, Shelby County, Tennessee",2979,83,1396,1343,2.78616985565626,46.8613628734475,45.0822423632091,W
47157002500,"Census Tract 25, Shelby County, Tennessee",2518,218,1153,917,8.65766481334392,45.7903097696585,36.417791898332,W
47157002600,"Census Tract 26, Shelby County, Tennessee",2049,46,1713,145,2.24499755978526,83.601756954612,7.07662274280137,W
47157002700,"Census Tract 27, Shelby County, Tennessee",1346,185,570,458,13.7444279346211,42.3476968796434,34.0267459138187,W
47157002900,"Census Tract 29, Shelby County, Tennessee",4035,105,3498,224,2.60223048327138,86.6914498141264,5.55142503097893,W
47157003000,"Census Tract 30, Shelby County, Tennessee",2300,52,1240,901,2.26086956521739,53.9130434782609,39.1739130434783,W
47157003100,"Census Tract 31, Shelby County, Tennessee",3257,292,2290,439,8.96530549585508,70.3101013202334,13.4786613447958,W
47157003200,"Census Tract 32, Shelby County, Tennessee",3468,142,2352,714,4.09457900807382,67.8200692041523,20.5882352941176,W
47157003300,"Census Tract 33, Shelby County, Tennessee",1805,50,1558,99,2.77008310249307,86.3157894736842,5.48476454293629,W
47157003400,"Census Tract 34, Shelby County, Tennessee",1816,93,1162,439,5.12114537444934,63.9867841409692,24.1740088105727,W
47157003500,"Census Tract 35, Shelby County, Tennessee",2583,69,1891,442,2.67131242740999,73.2094463801781,17.1118854045683,W
47157003600,"Census Tract 36, Shelby County, Tennessee",1402,96,583,514,6.84736091298146,41.583452211127,36.6619115549215,W
47157004200,"Census Tract 42, Shelby County, Tennessee",3332,100,2012,944,3.00120048019208,60.3841536614646,28.3313325330132,W
47157004300,"Census Tract 43, Shelby County, Tennessee",2875,68,1613,967,2.36521739130435,56.104347826087,33.6347826086957,W
47157006300,"Census Tract 63, Shelby County, Tennessee",1837,58,1277,412,3.15732172019597,69.5155144256941,22.4278715296679,W
47157006600,"Census Tract 66, Shelby County, Tennessee",1805,36,1045,610,1.99445983379501,57.8947368421053,33.7950138504155,W
47157007100,"Census Tract 71, Shelby County, Tennessee",1944,61,1339,488,3.13786008230453,68.8786008230453,25.1028806584362,W
47157007200,"Census Tract 72, Shelby County, Tennessee",2639,66,2239,160,2.50094732853354,84.8427434634331,6.06290261462675,W
47157007300,"Census Tract 73, Shelby County, Tennessee",2803,85,1354,945,3.03246521584017,48.3053870852658,33.7138779878701,W
47157007400,"Census Tract 74, Shelby County, Tennessee",2848,122,1985,439,4.28370786516854,69.6980337078652,15.4143258426966,W
47157008500,"Census Tract 85, Shelby County, Tennessee",3464,50,3145,70,1.44341801385681,90.7909930715935,2.02078521939954,W
47157008600,"Census Tract 86, Shelby County, Tennessee",4677,266,3572,544,5.68740645713064,76.3737438528972,11.6313876416506,W
47157008700,"Census Tract 87, Shelby County, Tennessee",3733,989,1964,493,26.4934369140102,52.6118403428878,13.2065362978837,W
47157009201,"Census Tract 92.01, Shelby County, Tennessee",2815,82,2365,145,2.91296625222025,84.0142095914742,5.15097690941385,W
47157009202,"Census Tract 92.02, Shelby County, Tennessee",2918,123,2312,156,4.21521590130226,79.2323509252913,5.34612748457848,W
47157009300,"Census Tract 93, Shelby County, Tennessee",3817,326,2709,572,8.54073880010479,70.9719675137543,14.985590778098,W
47157009400,"Census Tract 94, Shelby County, Tennessee",2668,142,2145,257,5.32233883058471,80.3973013493253,9.63268365817092,W
47157009501,"Census Tract 95.01, Shelby County, Tennessee",2452,126,1989,222,5.13866231647635,81.1174551386623,9.05383360522023,W
47157009502,"Census Tract 95.02, Shelby County, Tennessee",2849,60,2496,180,2.10600210600211,87.6096876096876,6.31800631800632,W
47157009600,"Census Tract 96, Shelby County, Tennessee",3885,101,3450,111,2.5997425997426,88.8030888030888,2.85714285714286,W
47157009800,"Census Tract 98, Shelby County, Tennessee",2521,684,1339,294,27.1320904403015,53.1138437128124,11.6620388734629,W
47157020102,"Census Tract 201.02, Shelby County, Tennessee",2532,64,2032,310,2.52764612954186,80.2527646129542,12.2432859399684,W
47157020210,"Census Tract 202.10, Shelby County, Tennessee",4538,235,2691,1250,5.17849272807404,59.2992507712649,27.5451740855002,W
47157020221,"Census Tract 202.21, Shelby County, Tennessee",2264,82,1215,824,3.62190812720848,53.6660777385159,36.3957597173145,W
47157020222,"Census Tract 202.22, Shelby County, Tennessee",2389,275,1030,961,11.5110925073252,43.1142737547091,40.2260359983257,W
47157020301,"Census Tract 203.01, Shelby County, Tennessee",1588,66,1230,203,4.15617128463476,77.455919395466,12.7833753148615,W
47157020302,"Census Tract 203.02, Shelby County, Tennessee",2778,124,1727,711,4.46364290856732,62.167026637869,25.5939524838013,W
47157020400,"Census Tract 204, Shelby County, Tennessee",627,94,361,114,14.9920255183413,57.5757575757576,18.1818181818182,W
47157020622,"Census Tract 206.22, Shelby County, Tennessee",3471,141,2567,594,4.06222990492653,73.9556323825987,17.1132238547969,W
47157020632,"Census Tract 206.32, Shelby County, Tennessee",4391,186,3366,469,4.23593714415851,76.6567979959007,10.6809382828513,W
47157020633,"Census Tract 206.33, Shelby County, Tennessee",2402,85,2040,140,3.53871773522065,84.9292256452956,5.82847626977519,W
47157020634,"Census Tract 206.34, Shelby County, Tennessee",2278,63,1880,194,2.76558384547849,82.5285338015803,8.51624231782265,W
47157020635,"Census Tract 206.35, Shelby County, Tennessee",1964,62,1676,131,3.15682281059063,85.3360488798371,6.67006109979633,W
47157020651,"Census Tract 206.51, Shelby County, Tennessee",5080,311,2785,1726,6.12204724409449,54.8228346456693,33.9763779527559,W
47157020652,"Census Tract 206.52, Shelby County, Tennessee",4069,135,3296,389,3.31776849348734,81.0027033669206,9.56008847382649,W
47157020653,"Census Tract 206.53, Shelby County, Tennessee",3162,104,1699,1184,3.28905755850727,53.7318153067679,37.4446552814674,W
47157020654,"Census Tract 206.54, Shelby County, Tennessee",3792,111,2174,1252,2.92721518987342,57.331223628692,33.0168776371308,W
47157020655,"Census Tract 206.55, Shelby County, Tennessee",2488,81,1920,342,3.2556270096463,77.1704180064309,13.7459807073955,W
47157020656,"Census Tract 206.56, Shelby County, Tennessee",4064,153,2395,1142,3.76476377952756,58.9320866141732,28.1003937007874,W
47157020700,"Census Tract 207, Shelby County, Tennessee",2070,41,1710,217,1.98067632850242,82.6086956521739,10.4830917874396,W
47157020833,"Census Tract 208.33, Shelby County, Tennessee",4399,145,2590,1166,3.29620368265515,58.8770175039782,26.5060240963855,W
47157020834,"Census Tract 208.34, Shelby County, Tennessee",2427,59,1818,423,2.43098475484137,74.9072929542645,17.4289245982695,W
47157020835,"Census Tract 208.35, Shelby County, Tennessee",2086,49,1442,515,2.3489932885906,69.1275167785235,24.6883988494727,W
47157020836,"Census Tract 208.36, Shelby County, Tennessee",5899,150,4528,573,2.54280386506188,76.7587726733345,9.71351076453636,W
47157020837,"Census Tract 208.37, Shelby County, Tennessee",5595,507,3976,714,9.06166219839142,71.0634495084897,12.7613941018767,W
47157020901,"Census Tract 209.01, Shelby County, Tennessee",3934,188,2901,546,4.77885104219624,73.7417386883579,13.8790035587189,W
47157020902,"Census Tract 209.02, Shelby County, Tennessee",4599,178,3514,631,3.87040661013264,76.4079147640791,13.7203739943466,W
47157021020,"Census Tract 210.20, Shelby County, Tennessee",5647,219,2976,2061,3.87816539755622,52.7005489640517,36.4972551797415,W
47157021023,"Census Tract 210.23, Shelby County, Tennessee",4015,199,1957,1596,4.95641344956414,48.7422166874222,39.7509339975093,W
47157021112,"Census Tract 211.12, Shelby County, Tennessee",4882,1573,1940,1115,32.2204014748054,39.7378123719787,22.8390004096682,W
47157021113,"Census Tract 211.13, Shelby County, Tennessee",2855,506,1094,1007,17.723292469352,38.3187390542907,35.2714535901926,W
47157021125,"Census Tract 211.25, Shelby County, Tennessee",3688,245,1808,1314,6.64316702819957,49.0238611713666,35.6290672451193,W
47157021126,"Census Tract 211.26, Shelby County, Tennessee",3511,242,1443,1383,6.89262318427798,41.0994018798063,39.3904870407291,W
47157021139,"Census Tract 211.39, Shelby County, Tennessee",3419,105,1971,949,3.07107341327874,57.6484352149751,27.7566539923954,W
47157021140,"Census Tract 211.40, Shelby County, Tennessee",3805,232,2072,1192,6.09724047306176,54.4546649145861,31.3272010512484,W
47157021142,"Census Tract 211.42, Shelby County, Tennessee",2946,174,1508,1081,5.90631364562118,51.1880515953836,36.693822131704,W
47157021143,"Census Tract 211.43, Shelby County, Tennessee",3544,262,1729,1246,7.39277652370203,48.7866817155756,35.1580135440181,W
47157021144,"Census Tract 211.44, Shelby County, Tennessee",2948,211,1258,1173,7.15739484396201,42.6729986431479,39.7896879240163,W
47157021311,"Census Tract 213.11, Shelby County, Tennessee",4043,91,3347,299,2.2508038585209,82.7850605985654,7.39549839228296,W
47157021312,"Census Tract 213.12, Shelby County, Tennessee",1847,86,1330,241,4.65619924201408,72.0086626962642,13.0481862479697,W
47157021320,"Census Tract 213.20, Shelby County, Tennessee",4715,158,3265,1112,3.35100742311771,69.2470837751856,23.5843054082715,W
47157021331,"Census Tract 213.31, Shelby County, Tennessee",2790,115,1603,935,4.12186379928315,57.4551971326165,33.5125448028674,W
47157021341,"Census Tract 213.41, Shelby County, Tennessee",4278,103,3679,194,2.40766713417485,85.9981299672744,4.53482935951379,W
47157021351,"Census Tract 213.51, Shelby County, Tennessee",4202,144,3494,148,3.426939552594,83.1508805330795,3.52213231794384,W
47157021352,"Census Tract 213.52, Shelby County, Tennessee",5175,111,4485,106,2.14492753623188,86.6666666666667,2.04830917874396,W
47157021355,"Census Tract 213.55, Shelby County, Tennessee",4226,101,2787,862,2.38996687174633,65.9488878371983,20.3975390440133,W
47157021356,"Census Tract 213.56, Shelby County, Tennessee",3033,75,2485,106,2.47279920870425,81.9320804484009,3.49488954830201,W
47157021357,"Census Tract 213.57, Shelby County, Tennessee",4313,101,3501,101,2.34175747739393,81.1731973104568,2.34175747739393,W
47157021410,"Census Tract 214.10, Shelby County, Tennessee",2288,64,2015,46,2.7972027972028,88.0681818181818,2.01048951048951,W
47157021420,"Census Tract 214.20, Shelby County, Tennessee",2630,76,2218,109,2.88973384030418,84.3346007604563,4.14448669201521,W
47157021430,"Census Tract 214.30, Shelby County, Tennessee",3184,84,2620,209,2.63819095477387,82.286432160804,6.56407035175879,W
47157021530,"Census Tract 215.30, Shelby County, Tennessee",4343,119,3387,214,2.74004144600507,77.9875661984803,4.92746949113516,W
47157021541,"Census Tract 215.41, Shelby County, Tennessee",5860,187,4448,278,3.19112627986348,75.9044368600683,4.74402730375427,W
47157021542,"Census Tract 215.42, Shelby County, Tennessee",3314,144,2591,130,4.34520217260109,78.183464091732,3.92275196137598,W
47157021544,"Census Tract 215.44, Shelby County, Tennessee",2562,96,1251,270,3.74707259953162,48.8290398126464,10.5386416861827,W
47157021545,"Census Tract 215.45, Shelby County, Tennessee",2904,110,1845,505,3.78787878787879,63.5330578512397,17.3898071625344,W
47157021546,"Census Tract 215.46, Shelby County, Tennessee",3000,129,1100,1000,4.3,36.6666666666667,33.3333333333333,W
47157021611,"Census Tract 216.11, Shelby County, Tennessee",4548,140,3864,239,3.07827616534741,84.9604221635884,5.25505716798593,W
47157021612,"Census Tract 216.12, Shelby County, Tennessee",3391,77,3073,69,2.27071660277204,90.6222353288116,2.03479799469183,W
47157021613,"Census Tract 216.13, Shelby County, Tennessee",3356,135,2759,150,4.02264600715137,82.2109654350417,4.46960667461263,W
47157021620,"Census Tract 216.20, Shelby County, Tennessee",2359,197,1010,1006,8.35099618482408,42.8147520135651,42.6451886392539,W
47157980402,"Census Tract 9804.02, Shelby County, Tennessee",7,0,6,0,0,85.7142857142857,0,W
